Segment,TimeStart,TimeEnd,S1_RMS,S1_MeanFreq,S1_MAV,S1_Trend,S2_RMS,S2_MeanFreq,S2_MAV,S2_Trend,S3_RMS,S3_MeanFreq,S3_MAV,S3_Trend,S4_RMS,S4_MeanFreq,S4_MAV,S4_Trend,S5_RMS,S5_MeanFreq,S5_MAV,S5_Trend,S6_RMS,S6_MeanFreq,S6_MAV,S6_Trend,S7_RMS,S7_MeanFreq,S7_MAV,S7_Trend,S8_RMS,S8_MeanFreq,S8_MAV,S8_Trend
1,0,20,0.004942986689445407,123.67360642937629,0.0036723037242912733,-9.751980848093646e-07,0.012966206614207469,109.35276438158166,0.01119988436829985,3.6694791145584467e-06,0.03191145497394504,62.72878973238961,0.026225304347653456,-3.254022829662568e-06,0.02027886308279413,87.30447264193394,0.0159630316683872,6.356444385015366e-06,0.024532546135641785,157.42605510465006,0.016690634951957436,-1.8678481967453105e-06,0.022932789440066915,139.6920916641364,0.021939735881045024,-1.4952795241935144e-06,0.012890657645142216,109.92342435077018,0.012162253807670928,-4.138847222586842e-06,0.021120441552152043,112.10354616381936,0.01988582481140316,3.2980468694708293e-06
2,20,40,0.0044872032976348356,120.085650123555,0.0035315785388127852,-9.656454152276823e-07,0.01241106283335119,113.99351442966386,0.010953730506253723,3.5387324545130583e-06,0.037828110041899274,59.60297428065837,0.032037549370657135,-2.3786438803730205e-06,0.02115004876670406,86.53744018795338,0.016791649315068494,3.1412378380952835e-06,0.024672170271344142,149.74927738960247,0.01729583569982132,1.4087416068478836e-05,0.022957835792904863,139.75733178046235,0.021927197403216202,-2.0958647782909364e-06,0.012847011899174959,113.07832111364543,0.012176792622592813,9.673869420273728e-07,0.020799741633781864,107.86797238889702,0.01978705145126067,-3.5584303556942864e-06
3,40,60,0.004571535410297348,122.29366939999707,0.0035906208020647207,-4.8453558278503755e-06,0.012364550909578803,112.62202989281262,0.010926892074647608,9.473260721142005e-06,0.03826586682587017,59.29640615710139,0.03239540099265435,-3.3353220005137346e-06,0.02146067012981021,86.3706267776552,0.01700559803851499,3.7382952938635014e-06,0.02328057219610783,149.07777397764113,0.01615260092515386,-1.949042764799721e-06,0.022854372526667822,140.27374218495424,0.021952769628747267,4.166064978883387e-06,0.012570224317786044,116.5288457764957,0.011968721727218584,1.1302629505500976e-05,0.02052801682027758,115.92311095814921,0.019737280405002975,-5.130234559146085e-07
4,60,80,0.004520983143854056,120.81044842457104,0.003550006317252333,-2.191088711162202e-07,0.012332825890044587,112.41829823347433,0.010964061056184235,-1.61501252262356e-06,0.03735307624593458,60.19253544346791,0.03152848333928926,3.608726684100804e-06,0.021771601204479477,89.1869572859503,0.01735957832837006,-3.096042787168059e-06,0.024419700525483642,148.3623058184693,0.017163322700019853,-4.156786286172002e-06,0.02299237272046307,146.82138975843162,0.021969571494937463,-1.5688916489281606e-06,0.012583691634340439,114.62714798582921,0.011942509728012708,-7.442829193428583e-07,0.02057068690047807,114.82299468609664,0.01972082518959698,2.012532197573782e-06
5,80,100,0.0052799747792580745,121.93997642580366,0.003957464455032758,-6.282648057103039e-06,0.012401443247581754,115.8173892972825,0.011020870815961882,-1.9650956572922876e-06,0.03593222578683513,60.817393343387295,0.030254914854079808,2.2997237993047805e-06,0.02228704418640929,94.22712987105473,0.017412361878102047,4.76078666933266e-07,0.02874462759941679,155.17009806914137,0.01984831145126067,-2.529746471936158e-07,0.03196075130723233,141.44403246033033,0.02499395463569585,-2.9659969524072734e-06,0.01379495042386118,112.4758455308522,0.01237149986102839,2.28999833588838e-06,0.022261050195358227,103.03952038059046,0.020267405832837006,-3.914332127591253e-06
6,100,120,0.004676262681411409,127.63738482549351,0.0036619208210910826,-3.07377876591029e-06,0.012517487331327515,117.60726508546924,0.01105468778289526,-3.299344575874826e-06,0.03823392344161236,61.69754672628499,0.03214053502739617,2.5058276231757023e-06,0.023435251945880663,95.2514755008317,0.018589734904311917,2.6919976105256507e-06,0.02667827728353258,154.0253912880807,0.01860754047089653,-2.535605774558262e-06,0.02772544123144652,137.85485678960836,0.02276713057651076,-3.942903295077548e-06,0.012962507474419483,120.27701221497163,0.012105186095449853,-9.388060015663416e-07,0.02063592541371599,120.79114850904479,0.019815336067656637,9.860276824735032e-06
7,120,140,0.004594765091986922,126.51937609316786,0.0036102350327575938,1.5885677853430952e-06,0.012437879281462698,114.66059666931135,0.011004189049037126,-1.052339335458756e-06,0.038838513928188864,60.995704132592586,0.03279142815564821,4.395372570132521e-07,0.023978008064411603,97.81941620242,0.0189412671749057,1.759794180234031e-06,0.02466886189241912,152.2328510178979,0.016959923466349017,1.807893980818488e-05,0.027814654935125492,134.35354819051224,0.022848316632916418,2.1553090644840393e-06,0.012791738600145526,125.30053883161419,0.011978651991264643,-2.060264350420844e-06,0.02049856162753406,123.82825276400084,0.019791897379392496,-8.532781131279323e-06
8,140,160,0.004597891355979187,120.84082889039117,0.0036077357554099663,7.979127490239672e-07,0.012590703076406586,113.88407197429598,0.01107405402025015,1.3901464603860124e-06,0.040764013961421854,59.766700585454885,0.03458194025809014,-1.8242266627713181e-06,0.02249353852913802,93.57097923856786,0.017770133980543973,-4.478557732980256e-06,0.02157414866719068,147.5196375352599,0.014806500405002976,-2.8499379402886515e-06,0.027465610888051533,129.7937190284296,0.022634454905697834,-1.306368218019671e-06,0.012586962553939167,124.4186308128242,0.011900202378399841,9.878262473809022e-06,0.020237120558122268,128.18811539338273,0.019729510966845346,-4.273601802282729e-06
9,160,180,0.004222470097263061,116.02326921448355,0.003314443224141354,4.478292071837285e-06,0.012723380689503625,114.09470074078672,0.011134715743498112,3.396484526715138e-06,0.04254837689428658,58.72563474925969,0.03617639797101449,-5.281148565835055e-06,0.021334407700163763,87.53435539251389,0.01688888672622593,7.312476069143198e-06,0.020540098182706044,145.0392226360304,0.013958676219972207,2.9041121625908226e-05,0.027539420004294966,127.42871506785616,0.022667665253126863,-9.893870814628887e-07,0.012366252036898442,125.29580453158215,0.011744349537423069,-5.410971979652312e-06,0.020058876411355005,128.12661588526308,0.019685572447885644,1.0229407459096938e-06
10,180,200,0.004166265368716533,115.48638777386775,0.003276058187738247,2.0421453701991696e-06,0.01254757981496939,112.53223390481376,0.011033398030495552,-4.436396435201649e-06,0.042718488555172976,58.51284225397086,0.03636363915978399,1.0439533018877608e-06,0.02104777471196216,84.72880498964128,0.01659807372935197,-8.498704734718669e-06,0.022109872883617123,148.27160234723584,0.014846037849428208,4.25651509994833e-07,0.02797527539892973,134.49193954857392,0.022901051282560356,-1.0190733823461742e-06,0.012429359522624184,129.10496433855081,0.011826567360228716,2.6296224664130583e-06,0.020108549498757237,130.0533829874235,0.019726763238564166,-9.076385576693046e-07
