Segment,TimeStart,TimeEnd,S1_RMS,S1_MAV,S1_IEMG,S1_WL,S1_ZC,S1_SSC,S1_WAMP,S1_PeakAmp,S1_Variance,S1_MNF,S1_MDF,S1_TotalPower,S2_RMS,S2_MAV,S2_IEMG,S2_WL,S2_ZC,S2_SSC,S2_WAMP,S2_PeakAmp,S2_Variance,S2_MNF,S2_MDF,S2_TotalPower,S3_RMS,S3_MAV,S3_IEMG,S3_WL,S3_ZC,S3_SSC,S3_WAMP,S3_PeakAmp,S3_Variance,S3_MNF,S3_MDF,S3_TotalPower,S4_RMS,S4_MAV,S4_IEMG,S4_WL,S4_ZC,S4_SSC,S4_WAMP,S4_PeakAmp,S4_Variance,S4_MNF,S4_MDF,S4_TotalPower,S5_RMS,S5_MAV,S5_IEMG,S5_WL,S5_ZC,S5_SSC,S5_WAMP,S5_PeakAmp,S5_Variance,S5_MNF,S5_MDF,S5_TotalPower,S6_RMS,S6_MAV,S6_IEMG,S6_WL,S6_ZC,S6_SSC,S6_WAMP,S6_PeakAmp,S6_Variance,S6_MNF,S6_MDF,S6_TotalPower,S7_RMS,S7_MAV,S7_IEMG,S7_WL,S7_ZC,S7_SSC,S7_WAMP,S7_PeakAmp,S7_Variance,S7_MNF,S7_MDF,S7_TotalPower,S8_RMS,S8_MAV,S8_IEMG,S8_WL,S8_ZC,S8_SSC,S8_WAMP,S8_PeakAmp,S8_Variance,S8_MNF,S8_MDF,S8_TotalPower,ConcentrationIndex,PatternStability,CoContractionRatio,FlexorExtensorBalance,S1_ActMap,S2_ActMap,S3_ActMap,S4_ActMap,S5_ActMap,S6_ActMap,S7_ActMap,S8_ActMap
1,0,20,0.004805388623142708,0.003566016232968785,0.0713210471342862,60.31370302560231,5408,9628,54,0.061261222765902984,2.309175978592845e-05,119.37360382400618,90.04908780271313,7323.951057397782,0.006939705475413968,0.004882506360925245,0.09765111641432336,78.6475294467513,5139,9315,215,0.07242446628535042,4.815951208533679e-05,110.1087945783049,89.14909691962106,15274.6223211242,0.031332537072311574,0.026154854640917474,0.523102391792059,221.31180171305135,2358,6068,4404,0.13384151163620547,0.0009817278425660878,62.347977788928965,49.949494011610454,311371.9672033003,0.016324483893444718,0.012912605473266186,0.25825472555927126,153.53464106686292,3421,7426,1793,0.10059582085059429,0.0002664887472092588,86.45403106409759,49.949494011610454,84521.5159489507,0.023799337082603348,0.016117728056204865,0.3223578265758997,310.6372341241789,5266,8857,6938,0.23855025078117173,0.0005664084445314199,153.67584860581135,137.94860258061385,179646.235920757,0.006583934746966976,0.0047811863651035244,0.09562469597045718,80.4042846255213,4844,9629,625,0.05743276376656518,4.3348196682370205e-05,134.50834275372813,114.14884367217884,13748.630420689944,0.004928178671252768,0.0033783345156601975,0.06756737476379739,54.49747161261988,5172,9778,46,0.040204945424727856,2.4286944696202414e-05,106.7596664765783,83.04915871199695,7703.024626254948,0.007435772222001711,0.004747415043640173,0.09494926269912021,74.73409539859304,5121,9639,282,0.11765702166190242,5.529070853698279e-05,109.58065872675049,89.8990893221978,17536.404631576588,0.19251566282666294,0.9957124168783614,0.7196245904130453,1.3896134363974788,0.04704277802716978,0.06793686210551027,0.3067326499717832,0.15980998259100052,0.2329857206925532,0.06445401301266192,0.048244842091118324,0.07279315150820286
2,20,40,0.0043687526391077225,0.0034365418558716023,0.06872880440294522,57.54967333587248,5301,9550,7,0.02269364590182719,1.908599912635956e-05,116.24881228098299,86.75256570710437,6052.974082106826,0.005916073551800754,0.004581998242172025,0.09163725459150816,73.50015524480838,5025,9224,35,0.0604086220306792,3.499992460556202e-05,112.95523436960839,89.50264704075897,11099.950026748667,0.03733945757653782,0.03203721941163102,0.6407254382175335,252.3063523266388,2173,5241,5793,0.10955800484361057,0.0013942350921099136,59.306520281097136,49.95147731492638,442170.66243336996,0.01737385420572188,0.013889891920355406,0.2777896225361218,166.24486865192478,3527,7332,2036,0.1083361591917226,0.0003018508059383222,85.9848425144462,53.20157343651818,95729.60225510703,0.023957668303465574,0.016797252383121682,0.33593511208775134,311.67975654865717,5173,8638,7048,0.19721532984562484,0.0005739698593284154,146.83048732153625,133.6039513368201,182030.0136987415,0.006730685071185316,0.004873802232315693,0.09747316179232311,82.56920756678961,4692,9578,649,0.05335137119755659,4.530212133055992e-05,134.97447553026225,115.75342340746202,14367.21045950508,0.004773924990637625,0.003225562200067671,0.06450933608133173,53.90307405425973,5440,9848,30,0.042347108002152904,2.279035886044047e-05,110.35786512744531,89.10263521040922,7227.782553633181,0.006489620109913585,0.004349176759661489,0.08698096265520291,70.07221707812178,5284,9759,133,0.05032520890134201,4.211516905545436e-05,105.72020876609304,87.60259084659761,13356.493682541426,0.21282420969145796,0.9993088013849468,0.6454323121151598,1.5493491435575621,0.040848538104208326,0.05531623689213716,0.3491299191334385,0.16244832430804307,0.22400804243793826,0.06293298529575095,0.0446369645974101,0.06067898923107356
3,40,60,0.004455199106834956,0.0035037888353318413,0.07007370421556207,59.23197198854381,5329,9463,14,0.024535036475607,1.9848797445561682e-05,118.29278350951203,90.20266774387106,6294.889552470036,0.005879200047805483,0.004559286393032887,0.09118303104278402,73.07004803183823,5130,9129,37,0.0560932228941675,3.456499248514365e-05,111.6172045301264,89.45264556196526,10962.01473528508,0.037793765071220564,0.03237770598451984,0.6475349682775041,252.38638197839495,2163,5160,5845,0.1113938473935766,0.0014283686777612009,58.98938886301406,49.90147583613266,452995.8598940189,0.017740884402112207,0.014142996181662686,0.2828515580510984,168.8183608678428,3575,7133,2169,0.08911344881442586,0.0003147389672257819,85.89540204804821,55.55164293982303,99816.98095205272,0.022538672322900622,0.01553802400202842,0.3107512892994658,284.85063426254413,5117,8560,6100,0.18877984206139717,0.0005079917379103125,146.3373188898832,133.1039365488829,161105.5728934228,0.006278195047342104,0.00450684398896029,0.09013421398101377,76.06223701466891,4787,9569,559,0.0469709679977529,3.94157327032412e-05,135.38590042458836,115.7034219286683,12500.38873524125,0.0043247563897859985,0.0029772606104338474,0.059543451159044004,50.5475170041019,5507,10035,17,0.03063351014362515,1.870351751619006e-05,112.87303755167862,88.90262929523433,5931.673056265269,0.005638078094149264,0.003893339706119646,0.07786449121198045,65.55750537975483,5447,9924,87,0.056703174654912224,3.178792459379214e-05,113.25840294283542,91.60270915009522,10081.289557665941,0.21873266531862953,0.9994477112515529,0.5887393648753726,1.6985444827724152,0.04257288392177058,0.05618031768863054,0.36114874661276186,0.16952791428826547,0.2153745001164137,0.05999302445959837,0.04132640255961418,0.053876210352945306
4,60,80,0.004390586504787794,0.0034453367659553276,0.06890469740243048,57.94494757299448,5399,9474,13,0.023631889850159633,1.9277248877377886e-05,117.16728662001286,87.60259084659761,6113.627432159877,0.005674081927522095,0.004422808101488566,0.08845354593880622,71.01247044077952,5117,9057,26,0.03900848743760858,3.219520566323148e-05,110.85563339722448,87.352583452629,10210.455536409196,0.03687242301202001,0.03150679504483197,0.6301172646275622,251.3311851350454,2167,5296,5735,0.11069322464075154,0.0013595755577564146,59.88094843364304,49.95147731492638,431178.6644902351,0.018160616262077572,0.014382622096344898,0.28764393460601556,178.61269773079073,3735,7281,2515,0.09556875922925025,0.0003298079756673035,88.66679548872179,62.30184257697524,104595.99812247725,0.02369152372643431,0.01655782898360574,0.3311467857163718,304.5842254501732,5136,8626,6733,0.16103940101023725,0.0005612882898028522,145.53108756990966,130.3538552152283,178008.15394958874,0.006696859620465723,0.00467819826156294,0.09356119807701557,83.45168872486012,5131,9518,709,0.050061739770324534,4.484792623359518e-05,142.34847049565585,126.45373986931813,14223.166066966542,0.004523192344978782,0.0031209034506414646,0.06241622299845724,52.24698751593783,5393,9942,21,0.03449673186287936,2.0459268623947727e-05,111.67002003197274,87.65259232539134,6488.495671603749,0.005833214166634955,0.004009329260540258,0.08018421369257196,67.11506725915781,5400,9812,101,0.04230555978151153,3.402638702611592e-05,112.52158246569046,91.10269436215802,10791.200262204997,0.21436724941635882,0.9516859980572561,0.6259020677390661,1.5976940348068838,0.041482264740537844,0.0536087305011085,0.34837068153463935,0.1715815166865114,0.22383753474734952,0.06327193494614988,0.04273512482265798,0.05511221202104573
5,80,100,0.005159431651575085,0.003860533204398496,0.07720838058260303,65.8898378414615,5465,9602,61,0.0821242036478706,2.661973489717958e-05,118.94885780668562,92.60273872596962,8442.238959481503,0.0057663838918740745,0.004516644910249414,0.09033022660955138,74.26471805785627,5198,9199,25,0.04018124850328331,3.325118301442939e-05,114.70536282265894,90.95268992577687,10545.350424320255,0.03542257284120072,0.03023722076308074,0.6047265299457176,243.47980252454118,2227,5359,5301,0.10917502838221665,0.0012547586664842989,60.49171937997833,49.95147731492638,397936.8141665135,0.018748104053721043,0.014390063781613397,0.28779276390962877,184.03693145428247,3825,7482,2743,0.2316243148408595,0.00035149140535617864,93.60747029622149,70.50208509914533,111472.72682025231,0.028076980258170958,0.019425372623339786,0.3884959623590073,374.3020517580911,5590,8864,8398,0.27398334240124733,0.0007883168151660845,152.17563116649902,139.40412287689165,250008.46008104406,0.022993099404069194,0.013122621490521378,0.26244466777989583,239.80842454095855,5202,9260,4981,0.31180028831514817,0.0005286826073453224,137.3793923610861,118.70351065629151,167667.51893550353,0.007215617100831341,0.004203301437084901,0.08406354248892357,69.05127218361106,5227,9789,281,0.18318054150717383,5.206513014219706e-05,110.50088347632972,92.45273428958846,16512.0453608838,0.010289284587175769,0.00483146741878084,0.096626490562668,80.21635431554455,5440,9913,407,0.3180285059989636,0.00010586937614391243,101.97808777634476,86.95257162227925,33575.63759933749,0.17579157602430195,0.988485210853374,0.949274664850291,0.949274664850291,0.0385978511745443,0.04313847770536863,0.26499724913047873,0.14025508601310413,0.2100446674401943,0.1720120138753718,0.0539802315058019,0.076974423155136
6,100,120,0.004548811554058456,0.0035584899864933976,0.0711705206799609,61.992746003829375,5435,9639,24,0.027010238729005723,2.0691685056089254e-05,124.21509881651583,96.74901993239862,6562.725844864612,0.006001226376330695,0.004659463024975389,0.093190204506745,76.97994545134011,5238,9175,41,0.04147428266972803,3.6014716149694117e-05,116.15369170378165,94.29904475064797,11422.690211517454,0.037763410019849265,0.032149593861442824,0.6429983907367687,263.8798168614853,2252,5478,6389,0.1308782130594745,0.001426075135889301,61.369376555249374,49.949494011610454,452304.3976435803,0.02003716808565919,0.015681728792450812,0.3136377529673651,206.1760339855877,4013,7450,3645,0.11892550899531168,0.00040148808911780133,94.91035413622423,74.44924582911707,127338.89243168215,0.026001492794654326,0.01810860607661419,0.3621757903359852,348.6742974535374,5509,8946,7883,0.16905339910694234,0.0006760776223952277,151.08255076189522,137.69860511308826,214429.71308399292,0.016815200910111874,0.011855191932962217,0.23710624052120216,210.63590432546846,5212,8761,4155,0.1596150190860265,0.00028275094286961394,134.92586877220094,117.09881378898066,89679.35258696038,0.005183339250531053,0.0036665495947440165,0.07333173473785055,62.491760509693876,5362,9845,59,0.0389691665779619,2.686700414863161e-05,117.09106508665018,93.1490564000303,8521.335111966226,0.005812991873589842,0.003990682536649171,0.07981445924528965,69.09972661858137,5579,9941,136,0.04300560479367488,3.37908742140921e-05,117.92496656628892,96.79901942590374,10717.360273368742,0.19457014620077556,0.9990985747573934,0.7873085562334158,1.2701500473767582,0.03723539607904492,0.04912448854543454,0.30912151727408993,0.16401908083139957,0.21284150186252024,0.1376448900104702,0.042429475855816766,0.0475836495412238
7,120,140,0.004473862949565107,0.0035128162008722496,0.07025424618668358,60.439910286146514,5490,9530,21,0.02851783449190739,2.0015449673395427e-05,122.86577100931429,95.00280970806818,6347.7419920580605,0.005894099325783606,0.004615778075180228,0.0923128312709012,74.21670224136982,5083,9104,34,0.033796375074129435,3.474040612922037e-05,113.47364713472402,90.15266626507734,11017.645788928896,0.03837163027827646,0.03276937985493191,0.6553682140106536,265.28396112696714,2196,5474,6378,0.11480850081225363,0.0014723819558354917,60.671303772643775,49.95147731492638,466954.3238805495,0.02067703196243991,0.01613978631276657,0.3227861795718257,218.4349448495365,4114,7485,4248,0.11278980602141982,0.0004275395849003291,97.45420694363919,75.65223741489851,135590.80713266347,0.023957312896492795,0.016326391742452553,0.32651817778843484,308.5723329299434,5434,8854,6813,0.20930124565577757,0.0005739528283024019,149.280003958797,137.1040548523805,182024.61244317354,0.016955144726918243,0.012047088467060254,0.24093464348845017,209.50598177089208,5111,8576,4066,0.1643132462198462,0.00028747692644140644,131.94577275237577,112.80333615863255,91171.03974663473,0.0048941198490119586,0.0034910531258193233,0.06981899755848381,60.58009880422195,5424,9803,70,0.04160639952561889,2.3952408432162942e-05,121.99109860348214,97.80289252051651,7596.317409638966,0.005330704508247679,0.0036768081045937544,0.07353398725990361,64.90218798796782,5647,9999,106,0.04313140080345492,2.8416410397099446e-05,120.73278503944599,98.60291618121603,9012.040423003082,0.19737341764684507,0.9969609283755193,0.7366719764490418,1.35745627900802,0.03711089154697982,0.04889181526393091,0.31829437463576055,0.1715168969908062,0.19872697279321666,0.1406436773359753,0.040596941162951664,0.04421843027037882
8,140,160,0.004473337537168339,0.0035101336276013315,0.07020059630800729,58.8901424508898,5339,9510,13,0.024481317583016658,2.0010748496869367e-05,117.69204525507351,88.45261598609085,6346.251051003353,0.006192085699773659,0.004786277694875714,0.0957227228142869,76.81861669818616,5052,8979,54,0.04989290034634554,3.8341924949387004e-05,113.0352303520963,91.5527076713015,12159.83907576505,0.04031258231445514,0.034585772455223054,0.6916949916202645,272.3720245433241,2126,5095,6766,0.12645805134967036,0.0016251041219441818,59.47900541589182,49.95147731492638,515388.9542658353,0.01897331724866246,0.014873745766450763,0.297466117508485,191.19067108073844,3887,7254,3094,0.1187381972109777,0.0003599867484467936,93.31763053721656,70.85209545070138,114166.95787442221,0.02083538619948419,0.014084537037405793,0.281682409744544,256.4889168854093,5066,8650,5431,0.20129019212186733,0.0004341133174027268,144.77057392656465,131.6038921850713,137675.6145454838,0.01642398454540917,0.01153096293792414,0.23061243819397523,192.89852518872618,4861,8410,3596,0.12766353308045014,0.0002697472681644638,127.89473272087021,110.05325482497794,85548.21846678204,0.004312896442745374,0.0030884231003555605,0.06176663520486616,53.84236087307684,5489,9994,33,0.05358221267714593,1.8601074791627624e-05,121.13882635400006,96.7528614658484,5899.184154187282,0.004521440781858965,0.0031791554776208534,0.0635812290819714,57.52245944732726,5749,10139,63,0.05686435633605825,2.044342670872465e-05,124.84968999501163,100.85298272693343,6483.471533143857,0.2069104326464487,0.9987576663265016,0.6589397616003113,1.517589403880234,0.03854829032749805,0.053359335240040814,0.3473874068292337,0.1634996097880292,0.1795456992971908,0.14153113180713428,0.03716571415548109,0.038962812555392065
9,160,180,0.004095818679184508,0.0032176755465102885,0.0643516076751396,51.983815478599965,5197,9487,6,0.02428765268373536,1.67757305175166e-05,112.68300790037802,83.90248141586233,5320.290615055933,0.006382961725532827,0.004921438223692943,0.09842585344317951,78.81956199509952,5118,8871,73,0.04927150398265037,4.0742199407165304e-05,113.821043233811,92.05272245923871,12921.067187884652,0.0421150439467374,0.0361833340608734,0.7236452787755914,279.0465430409913,2152,4770,7035,0.11854088672119749,0.0017736769017738976,58.45976347733149,49.95147731492638,562507.6395210291,0.01758631771327933,0.013935089252322208,0.27869354244123623,167.64306634703905,3618,7111,2207,0.10415969364607801,0.00030927857020892675,87.19627100367943,58.551731667446234,98085.2591070386,0.0197560736077698,0.013209753497916357,0.2641872563892136,235.76481482464416,4972,8601,4870,0.22286663113581803,0.0003903024426669455,142.53154043060513,127.6537753603674,123781.3411813052,0.01658703747930086,0.01155906703088675,0.23117450342965662,190.13925070896502,4724,8275,3435,0.1621925793784401,0.0002751298078825512,125.79326405517722,108.40320602478518,87255.24848359145,0.003956071134381598,0.002894513397085785,0.057888555837058944,49.81516518697016,5383,9874,23,0.030535345591870128,1.5650498389263864e-05,121.51025830549104,95.5528259747991,4963.432120848989,0.0037915737986315996,0.002788018134452144,0.05575871357633333,48.84506898993841,5486,10136,48,0.042625615781018034,1.4376031769755913e-05,124.49992457493751,95.85283484756143,4559.245084827504,0.21718236843130231,0.9995629842337289,0.6282511651146929,1.5917200882825915,0.03584306020019528,0.05585815664802997,0.3685544145761188,0.15390023188778854,0.17288805757968048,0.14515539614459913,0.0346201106378388,0.03318057232574905
10,180,200,0.004040031314392281,0.003174892456853449,0.0634934500061001,50.939195313803474,5109,9459,8,0.024373819393654655,1.632185273783591e-05,112.08862556189297,81.15562246149942,5175.935799504889,0.006116421166637137,0.004764001532378522,0.09527342964707618,75.55207233720202,4950,8958,38,0.03092012359882995,3.7410607883664625e-05,112.35867328125407,90.25625295317711,11863.537046894968,0.04229197274650353,0.036339200280730934,0.726733654018931,278.86847269535565,2136,4747,7056,0.1221280101295574,0.0017886105675050184,58.24377604628661,50.003464239987316,567198.6885989502,0.01726421619159072,0.013719240938053344,0.27436580938090666,158.60738180468047,3419,6951,1901,0.09150539687557915,0.00029805315413592456,84.27082996969301,55.05381412822604,94517.7008646595,0.02134405838274013,0.01412575447046114,0.28249551676391454,256.3967338539737,5005,8481,5387,0.2351143511344754,0.00045556882803373945,145.8375405505881,134.20929802012597,144468.5872528188,0.017259861441656286,0.011131144871530914,0.2226074741163521,185.0545535645261,4678,8440,3210,0.25677086977496694,0.0002979028095814965,131.8138950826265,115.85802664405063,94470.0238938729,0.003957853964024288,0.002805440911418461,0.05610493100945944,49.863601231801105,5604,10105,49,0.060360823645056065,1.5664607975908944e-05,125.61348458523098,100.50696312237451,4967.512360379988,0.003946386228150555,0.0028162876235402153,0.056321850222690276,49.44042557618202,5445,10185,65,0.057380942502550034,1.5573964132688235e-05,126.57529989813537,102.507101691974,4938.767662562476,0.2165578820173171,0.9916707368285219,0.6671409814606892,1.4989335504626384,0.03476168865198915,0.05262759412325475,0.3638933153451339,0.14854669713444565,0.1836509309785634,0.14850922750869328,0.03405460911585756,0.03395593714206225
